Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,712900000
1987,847200000
1988,1037500000
1989,1224800000
1990,1355100000
1991,1547100000
1992,1698700000
1993,1907000000
1994,2194200000
1995,2336800000
1996,2438100000
1997,2700500000
1998,2971000000
1999,3007600000
2000,3310445800
2001,3292181400
2002,3268788800
2003,3563538200
2004,3903108100
2005,3367103900
2006,4231459000
2007,4104494600
2008,4880244600
2009,4412427700
2010,4140959500
2011,4281396100
2012,4473421000
2013,4588729918.14069
2014,4811655296.99334
2015,5080253024.95588
2016,5098626444.2864
2017,5230083913.46445
2018,5480192843.02278
2019,5715860987.70645
2020,4301842176.05922
2021,4969439751.66428
2022,5726855704.51499
2023,6299241046.80068
2024,7230395580.81983
2025,..
