Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,0
1972,0
1973,0
1974,0
1975,0.000250277616478934
1976,0.103168693230824
1977,0.102529682240879
1978,0.064071526581643
1979,0.169497690087684
1980,0.859447798274339
1981,0.423703456742725
1982,0.194024279040575
1983,0.578345890398442
1984,0.827560981608319
1985,1.18197211294809
1986,0.417850382342611
1987,0.898189848224511
1988,0.767014497693606
1989,1.29008154657163
1990,1.54044703363483
1991,0.792518822181463
1992,1.21891810278067
1993,1.19966913608006
1994,1.04663397266175
1995,1.15775423968895
1996,1.47381055146331
1997,1.34618810486856
1998,0.716440594011167
1999,1.2640328333756
2000,2.90013736388298
2001,2.37588358007371
2002,3.05099295185254
2003,2.35733862066723
2004,3.12418440617648
2005,4.88374999316467
2006,5.69898938300066
2007,6.8502297342168
2008,10.6323403343923
2009,4.94720096886122
2010,6.11170340930816
2011,7.25808676225312
2012,5.82868451464021
2013,5.32024511997123
2014,4.16480190117337
2015,1.71555844996457
2016,1.55304164138886
2017,2.32534172739906
2018,3.02067628847655
2019,2.46853330339957
2020,1.32602625155396
2021,2.32444006116665
2022,..
2023,..
2024,..
2025,..
