Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,21.8683105862054
2006,21.560052784806
2007,21.3615345066511
2008,21.2329918291455
2009,21.0759600338473
2010,21.0987681417896
2011,20.7683163366319
2012,21.0197737841631
2013,20.7216744757161
2014,21.0813336125593
2015,21.2237572260492
2016,21.8071668354127
2017,22.4924859750894
2018,23.1325005047174
2019,23.7760607942748
2020,24.3974005286596
2021,24.3290568071823
2022,24.449065693823
2023,22.5882510040318
2024,22.4099873871364
2025,..
