Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,53.6909294128418
1971,55.4016304016113
1972,55.9390106201172
1973,56.3519287109375
1974,57.3139305114746
1975,58.4549217224121
1976,59.5716400146484
1977,60.3377494812012
1978,62.0311088562012
1979,..
1980,70.6819000244141
1981,79.3669204711914
1982,26.7844390869141
1983,..
1984,33.4359512329102
1985,33.874641418457
1986,34.6519012451172
1987,..
1988,45.364688873291
1989,41.6640396118164
1990,40.0961494445801
1991,41.0024185180664
1992,..
1993,50.2643585205078
1994,60.0211486816406
1995,63.5347595214844
1996,..
1997,..
1998,..
1999,47.7320213317871
2000,42.0252113342285
2001,43.347900390625
2002,100.316429138184
2003,121.708023071289
2004,146.238525390625
2005,125.132736206055
2006,125.48087310791
2007,122.418601989746
2008,126.83984375
2009,119.475723266602
2010,122.387077331543
2011,117.800979614258
2012,123.121421813965
2013,125.977630615234
2014,128.515670776367
2015,126.134391784668
2016,126.238311767578
2017,126.160003662109
2018,128.190673828125
2019,129.512435913086
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
