Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,66.1100887316385
2006,66.1100887316385
2007,66.1100887316385
2008,66.1100887316385
2009,66.1100887316385
2010,65.7106883422776
2011,65.3112879529168
2012,64.9118875635561
2013,64.5124871741953
2014,64.1130867848344
2015,63.7136863954737
2016,63.3142860061129
2017,62.914885616752
2018,62.5154852273912
2019,62.1160848380305
2020,61.7166844486696
2021,61.3172840593088
2022,60.917883669948
2023,60.5184832805872
2024,60.1190828912264
2025,..
