Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,52
1971,53.4600289196
1972,54.7279042841
1973,55.8392178164
1974,56.8212824011
1975,57.6954069299
1976,58.4784601283
1977,59.1839697982
1978,59.822910902
1979,60.4042806183
1980,74.3107104987325
1981,77.2953920314659
1982,79.6894228997335
1983,81.3174224039794
1984,82.6246967597737
1985,82.1873565700463
1986,82.089284688882
1987,76.7230331416139
1988,75.8761864805047
1989,74.8978854214178
1990,74.0186627843417
1991,73.1884743524216
1992,72.4861981297306
1993,72.0377579372017
1994,71.6302745218971
1995,71.0230052135718
1996,70.465916574981
1997,69.9101052177837
1998,69.4259744189744
1999,68.6744822530711
2000,68.0302016904555
2001,67.7548236022225
2002,67.2188443928547
2003,66.240127204123
2004,65.2928137148283
2005,64.4611887679667
2006,64.3686083763592
2007,64.2750873257196
2008,64.1895884190476
2009,64.1119141632364
2010,64.040948166161
2011,64.3520203362539
2012,64.6600789180318
2013,64.6838557939976
2014,64.7219819532992
2015,64.8541980493241
2016,64.8755752889061
2017,64.6803673197602
2018,66.2215054379858
2019,66.3823826351084
2020,66.3456283592045
2021,66.3964367804802
2022,..
2023,..
2024,..
2025,..
