Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,23908420767.1179
1971,17332607859.7161
1972,20802638386.0803
1973,25472814255.713
1974,32523348180.5065
1975,40211359636.4582
1976,49584812135.1934
1977,50726806559.4684
1978,57109550683.5894
1979,60331058543.3244
1980,81540174915.2464
1981,180294174287.741
1982,163108654382.481
1983,118060257688.428
1984,95907985327.7673
1985,96308345320.8159
1986,91535625521.5758
1987,91234803953.2084
1988,92438601215.5271
1989,79242562862.4197
1990,92148084214.61
1991,93349508667.0906
1992,92814562116.6739
1993,75368435338.7822
1994,66309736701.5264
1995,83651733022.748
1996,92804579124.7585
1997,94714513361.0945
1998,100884776939.077
1999,108553049187.65
2000,98536497966.9624
2001,110089126986.056
2002,135751918845.723
2003,154966015432.32
2004,189121956882.509
2005,226093849134.567
2006,309997767677.546
2007,359234703589.005
2008,432700418304.514
2009,403505482313.162
2010,455521901550.453
2011,504090893334.808
2012,559242409730.136
2013,650490354968.214
2014,731443350204.527
2015,649626064751.412
2016,586751222322.726
2017,567397297698.12
2018,625239989059.578
2019,654349679725.878
2020,652269405086.373
2021,677102880207.184
2022,..
2023,..
2024,..
2025,..
