Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,519999.980926514
1982,180000.007152557
1983,170000.001788139
1984,680000.007152557
1985,1769999.98092651
1986,3759999.99046326
1987,460000.00834465
1988,5949999.80926514
1989,3150000.09536743
1990,11159999.8474121
1991,6340000.15258789
1992,4099999.90463257
1993,2769999.98092651
1994,5949999.80926514
1995,3839999.91416931
1996,2170000.07629395
1997,4590000.15258789
1998,2630000.11444092
1999,3069999.9332428
2000,3640000.10490417
2001,2319999.9332428
2002,2630000.11444092
2003,5570000.17166138
2004,4820000.17166138
2005,4039999.96185303
2006,1389999.98569489
2007,4489999.77111816
2008,439999.997615814
2009,899999.976158142
2010,660000.026226044
2011,1019999.98092651
2012,200580.00087738
2013,543253.004550934
2014,286956.012248993
2015,54995.0003623962
2016,825403.988361359
2017,15698.9991664886
2018,..
2019,17444.9998885393
2020,260051.012039185
2021,2330188.98963928
2022,443004.995584488
2023,684387.028217316
2024,..
2025,..
