Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,25.4763521211256
1991,25.478774678004
1992,24.0941788537499
1993,24.9606641594466
1994,24.4358161945779
1995,22.9327009289562
1996,23.7808624144199
1997,24.2725962614984
1998,22.6213926279334
1999,25.4203672356909
2000,26.1482101937279
2001,27.9012864775286
2002,29.7076573363672
2003,33.5802555951373
2004,34.1235149432227
2005,30.1343775223768
2006,34.5934530161
2007,36.9028641769228
2008,39.7766173730147
2009,42.8407631116882
2010,46.0853872702511
2011,47.0598256171017
2012,49.7810428787236
2013,48.2055508173157
2014,58.3584075799997
2015,27.6697195798827
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,..
2024,..
2025,..
