Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0.191369995474815
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,0.688019990921021
1999,0.631550014019012
2000,..
2001,..
2002,0.654560029506683
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,0.373846874831265
2012,..
2013,0.806641569426308
2014,..
2015,0.795279798294231
2016,0.836501611690673
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,0.977179511965258
2024,0.988688918389289
2025,..
