Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,86.4077669902913
1991,92.1424829753798
1992,95.0500883912787
1993,93.9076225559649
1994,95.686374016747
1995,93.9861390565616
1996,95.7204948177867
1997,96.1744452945677
1998,96.3202192209826
1999,97.3291582243507
2000,96.1490163248221
2001,95.3083109919571
2002,93.9539860888176
2003,97.8565705128205
2004,97.5026757046022
2005,98.713944515892
2006,98.3164373642288
2007,97.4825174825175
2008,100
2009,99.9807766243752
2010,99.9867864693446
2011,98.5922214268671
2012,100
2013,100
2014,100
2015,100
2016,100
2017,99.9558108705259
2018,99.9883081959546
2019,99.5582020745294
2020,99.3788819875776
2021,99.5425128319572
2022,97.7006569551557
2023,96.6910948256718
2024,..
2025,..
