Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,5269000200
1981,4986999800
1982,5507999700
1983,5922999800
1984,6111000100
1985,5445000200
1986,5384999900
1987,5587999700
1988,5362999800
1989,5854000100
1990,4927105000
1991,1203850000
1992,2768059900
1993,16544879600
1994,33632489500
1995,63254307100
1996,77157857200
1997,70039311500
1998,87299040700
1999,110273714400
2000,167165673000
2001,215024396800
2002,228358486500
2003,253548376200
2004,290270236400
2005,317080425600
2006,344476293800
2007,366375687600
2008,390000556800
2009,403848847200
2010,379064258800
2011,414825967900
2012,379220716100
2013,376018534100
2014,372081154000
2015,376819385800
2016,381403720500
2017,414654817800
2018,430477708700
2019,421243986700
2020,417267943500
2021,508015713900
2022,552372006900
2023,574200265800
2024,613221189200
2025,..
