Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,7.42999982833862
2002,..
2003,..
2004,..
2005,..
2006,..
2007,8.12435433181733
2008,9.81999969482422
2009,9.77939933133905
2010,9.9820169999941
2011,12
2012,12.8999996185303
2013,12.9112680550336
2014,13.1912382198248
2015,14.8079976313206
2016,14.3157503195291
2017,15.4560447265299
2018,16.8396263737356
2019,17.6892036417258
2020,18.1971486350962
2021,18.5665908662464
2022,20.4319507015874
2023,20.4400005340576
2024,..
2025,..
