Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,175817154764.987
2002,186725653716.641
2003,190451978369.619
2004,212205189668.345
2005,217867363726.358
2006,251082385749.468
2007,281968454869.057
2008,315555812685.406
2009,227160924219.805
2010,165108884790.251
2011,183280647448.476
2012,161325879154.469
2013,174820976121.077
2014,195596995787.678
2015,199033787462.705
2016,205380820971.635
2017,211202548954.229
2018,211635210526.945
2019,225317206960.882
2020,222941365107.283
2021,228436572975.171
2022,272766887505.476
2023,311254011633.983
2024,..
2025,..
