Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,20.644739151001
1974,..
1975,..
1976,33.9285697937012
1977,30.4478302001953
1978,29.1150302886963
1979,24.5145206451416
1980,30.7167892456055
1981,34.5022583007813
1982,46.9972381591797
1983,52.455638885498
1984,47.6758804321289
1985,46.6047515869141
1986,48.6827507019043
1987,50.1594314575195
1988,51.9775085449219
1989,55.064380645752
1990,56.0203514099121
1991,53.7590408325195
1992,54.6112213134766
1993,56.1428604125977
1994,58.8157997131348
1995,59.4210586547852
1996,58.751838684082
1997,56.2083015441895
1998,57.6489295959473
1999,60.2826805114746
2000,59.3093795776367
2001,59.601879119873
2002,65.3639678955078
2003,71.0993499755859
2004,75.2928009033203
2005,78.4205017089844
2006,79.8563613891602
2007,85.0657501220703
2008,..
2009,86.3016967773438
2010,86.2510833740234
2011,84.4375686645508
2012,81.1503829956055
2013,82.3639602661133
2014,88.5204925537109
2015,80.4056091308594
2016,..
2017,..
2018,..
2019,98.2778625488281
2020,94.2661819458008
2021,..
2022,..
2023,..
2024,..
2025,..
