Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.909
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,1.068
1981,..
1982,..
1983,..
1984,0.953
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,1.616
2001,1.759
2002,1.761
2003,1.838
2004,1.762
2005,1.494
2006,1.407
2007,1.541
2008,1.845
2009,1.792
2010,1.749
2011,1.786
2012,1.801
2013,2.045
2014,2.232
2015,2.361
2016,2.458
2017,2.502
2018,2.605
2019,2.71
2020,2.83
2021,2.786
2022,2.915
2023,2.992
2024,..
2025,..
