Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,3.30651546598545
2009,..
2010,..
2011,..
2012,3.76665999323128
2013,3.60738438587124
2014,10.1695189703589
2015,5.3019976880201
2016,2.61902840521391
2017,2.84060044002548
2018,2.90326432456259
2019,2.99865577867219
2020,5.37704492826553
2021,8.95796265725262
2022,9.2877602243891
2023,8.96029397394575
2024,..
2025,..
