Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,5.4976
1971,6.0212
1972,6.2642
1973,6.4226
1974,6.5746
1975,6.7078
1976,6.9725
1977,7.1114
1978,7.3101
1979,7.5764
1980,7.5567
1981,7.6162
1982,7.9918
1983,8.3417
1984,8.5236
1985,8.6913
1986,8.9577
1987,9.118
1988,9.0836
1989,9.1712
1990,9.3452
1991,9.6067
1992,9.8203
1993,10.1337
1994,10.2318
1995,10.331
1996,10.5497
1997,11.1348
1998,11.2482
1999,11.5579
2000,12.1047
2001,13.4502
2002,13.3049
2003,13.6068
2004,14.0493
2005,14.1202
2006,14.42
2007,14.2109
2008,14.2228
2009,13.6647
2010,13.7038
2011,13.6949
2012,14.3578
2013,14.8677
2014,15.6255
2015,16.108
2016,16.5352
2017,17.0363
2018,17.5962
2019,17.6438
2020,17.6958
2021,17.67
2022,17.9539
2023,18.1484
2024,18.1885
2025,..
