Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0.179841306264809
1991,0.173681374538894
1992,0.163832601137863
1993,0.156706504549819
1994,0.152601250533536
1995,0.15924118043331
1996,0.164272253822039
1997,0.157176831993703
1998,0.159535744418986
1999,0.167436210787093
2000,0.164936165306459
2001,0.165712197067092
2002,0.175648188230279
2003,0.175942859786917
2004,0.178659169101303
2005,0.168457400381496
2006,0.164978670772537
2007,0.161153892861494
2008,0.16037706666798
2009,0.156778216616206
2010,0.15314506977375
2011,0.150554617399391
2012,0.155400034952895
2013,0.15526429980423
2014,0.156663583484278
2015,0.157448735660313
2016,0.159087944593166
2017,0.152502917225681
2018,0.155341410422439
2019,0.153042200347736
2020,0.157657073592127
2021,0.159988196247474
2022,0.154226620193749
2023,0.148890709000679
2024,..
