Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,2072
1991,2108
1992,2172
1993,2252
1994,2323
1995,2385
1996,2443
1997,2498
1998,2546
1999,2581
2000,2590
2001,2557
2002,2491
2003,2421
2004,2380
2005,2379
2006,2424
2007,2509
2008,2610
2009,2704
2010,2776
2011,2821
2012,2839
2013,2814
2014,2745
2015,2643
2016,2534
2017,2429
2018,2325
2019,2221
2020,2132
2021,2082
2022,2070
2023,2076
2024,..
2025,..
