Year,Value
1960,4.73653141765329
1961,4.35278166735484
1962,3.85304116169717
1963,3.33641193600173
1964,2.9510937935693
1965,2.75816068378208
1966,2.72639549694229
1967,2.83813704032471
1968,3.07886091396972
1969,3.42069110209582
1970,3.82014506189671
1971,4.31645787306299
1972,4.92227340568977
1973,5.51215451808884
1974,5.93542855378199
1975,6.16385934315633
1976,6.15590883632761
1977,5.92679490710336
1978,5.63141650985087
1979,5.35942135117356
1980,5.22543676353375
1981,5.30306381953015
1982,5.51427128651101
1983,5.78200832288548
1984,6.01877989766301
1985,6.08055138459804
1986,5.86259850568731
1987,5.33622284153938
1988,4.59248756917766
1989,3.83720762200341
1990,3.28577463717251
1991,3.0382040265265
1992,3.11726660752324
1993,3.47079537848142
1994,3.995271195785
1995,4.55050797470008
1996,5.03362276637525
1997,5.4493056835113
1998,5.79433465918585
1999,6.07308313816072
2000,6.31666087942799
2001,6.59869326205672
2002,6.92930638788127
2003,7.27050476819362
2004,7.63464968027047
2005,7.97303697243436
2006,8.22768716060109
2007,8.33614829169334
2008,8.25385785889931
2009,7.99666151180246
2010,7.61381428617849
2011,7.20253315332661
2012,6.82789139782702
2013,6.47893884458407
2014,6.16796333585922
2015,5.93285321987618
2016,5.78589209089368
2017,5.71030432505435
2018,5.7066497975644
2019,5.74642224270428
2020,5.81682033764191
2021,5.92081528266017
2022,6.02264929597905
2023,6.12137362010621
2024,6.29026633887077
2025,..
