Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,0.351273052040256
1978,0.336521586315975
1979,0.307930844193599
1980,0.281519125618343
1981,0.23773712953368
1982,0.301807101642312
1983,0.165978027709385
1984,0.183889493329404
1985,0.171484681375311
1986,0.162595604793534
1987,0.201398451217912
1988,0.206565926925619
1989,0.201096087402444
1990,0.197504694382984
1991,0.194121954243717
1992,0.193180365261729
1993,0.178954682736943
1994,0.182693890958188
1995,0.199808403619008
1996,0.185902539111065
1997,0.186485260329966
1998,0.182298058530452
1999,0.178089957837182
2000,0.113492159366244
2001,0.116183646375896
2002,0.130179831260736
2003,0.133841855933544
2004,0.12863109957682
2005,0.125238961154795
2006,0.126384568071257
2007,0.126457408656587
2008,0.136199445690716
2009,0.178538787413485
2010,0.202589998750296
2011,0.157663890394852
2012,0.162553357970764
2013,0.187331128571401
2014,0.197342048458188
2015,0.202436868914591
2016,0.210394116337007
2017,0.180314186934777
2018,0.17506842642314
2019,0.202417458437144
2020,0.237405176162644
2021,0.223171016528254
2022,0.211637467074404
2023,0.207284637223361
2024,0.207004739190212
2025,..
