Year,Value
1960,497580
1961,510574
1962,526529
1963,539360
1964,551379
1965,563019
1966,575711
1967,581740
1968,589395
1969,598204
1970,606641
1971,625702
1972,640744
1973,657823
1974,682422
1975,701647
1976,722630
1977,744448
1978,767472
1979,791353
1980,815612
1981,840763
1982,865766
1983,887566
1984,909144
1985,934302
1986,964136
1987,994841
1988,1024509
1989,1053001
1990,1080566
1991,1109455
1992,1136617
1993,1160588
1994,1183748
1995,1206603
1996,1230446
1997,1251794
1998,1271358
1999,1291317
2000,1311952
2001,1336303
2002,1359312
2003,1382696
2004,1406268
2005,1432144
2006,1459170
2007,1491891
2008,1527165
2009,1569667
2010,1613899
2011,1662695
2012,1721183
2013,1780205
2014,1836215
2015,1892760
2016,1952189
2017,2013993
2018,2077658
2019,2150082
2020,2231077
2021,2290295
2022,2366759
2023,2471777
2024,2572743
2025,..
