Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,180000.007152557
1994,9999.99977648258
1995,9999.99977648258
1996,9999.99977648258
1997,29999.9993294477
1998,29999.9993294477
1999,119999.997317791
2000,150000.005960464
2001,200000.002980232
2002,319999.992847443
2003,340000.003576279
2004,740000.009536743
2005,860000.014305115
2006,370000.004768372
2007,460000.00834465
2008,2160000.08583069
2009,600000.023841858
2010,579999.983310699
2011,509999.990463257
2012,928067.982196808
2013,746721.982955933
2014,536789.000034332
2015,720416.009426117
2016,1132953.04775238
2017,675508.02230835
2018,2906166.07666016
2019,2869138.00239563
2020,4957396.03042603
2021,487069.010734558
2022,357663.005590439
2023,1159281.96907043
2024,..
2025,..
