Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0.0010527761248684
2008,0.00152474241094118
2009,0.013938944244223
2010,0.00636023516835917
2011,0
2012,0.000870019140421089
2013,0.588336045217093
2014,0.722864768683274
2015,0.775599481529488
2016,0.933031420327028
2017,0.945723684210526
2018,1.12648143010028
2019,1.32824486038662
2020,1.33209489531329
2021,1.21956467171083
2022,..
2023,..
2024,..
