Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,..
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0.0844800025224686
2004,0.136899992823601
2005,0.170389994978905
2006,0.220770001411438
2007,0.260969996452331
2008,0.311260014772415
2009,0.333099991083145
2010,0.318549990653992
2011,0.304280012845993
2012,0.312730014324188
2013,..
2014,0.459719985723495
2015,0.571020007133484
2016,..
2017,0.599940001964569
2018,0.701409995555878
2019,0.768679976463318
2020,0.954919993877411
2021,0.985979974269867
2022,1.06163001060486
2023,1.32709002494812
2024,1.56482005119324
2025,..
