Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,6.72815703113597
1971,7.33421624773433
1972,8.17442603517416
1973,9.32699927325283
1974,9.49373839165854
1975,8.57788355096267
1976,8.18009287509437
1977,7.8821872552163
1978,8.25268616522488
1979,9.3044059825601
1980,6.88090906235427
1981,7.31234133891041
1982,8.2457506305516
1983,8.35134812930915
1984,7.83263237173249
1985,7.32742036587387
1986,7.8663420820548
1987,10.5899688134817
1988,9.78876576031165
1989,11.6819336550811
1990,11.8198042067692
1991,12.7079538268412
1992,8.59929093642328
1993,8.4247477628984
1994,9.35174829216462
1995,8.25845974003558
1996,6.27137970353478
1997,9.74433792298716
1998,10.3061479510245
1999,11.3081391084761
2000,10.9012327822256
2001,10.9248179595289
2002,11.0867341007995
2003,11.043038042334
2004,11.4508331727514
2005,11.8858442500025
2006,10.3640735934041
2007,11.6489496200666
2008,10.7362677439998
2009,11.356314071616
2010,10.2427903194142
2011,10.0291751373636
2012,10.537573299425
2013,10.7472815074837
2014,10.9548809982925
2015,10.926889688067
2016,12.2780862183938
2017,12.3453951671993
2018,13.2601608970739
2019,12.8092756010809
2020,10.8874691170299
2021,10.7239608925468
2022,11.19346516204
2023,12.4909825534388
2024,11.5378154113804
2025,..
