Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,2.62654506897015
2001,2.61066231377673
2002,2.5947795585833
2003,2.57889680338989
2004,2.56301404819646
2005,2.54713129300304
2006,2.53124853780962
2007,2.5153657826162
2008,2.49948302742277
2009,2.48360027222935
2010,2.46771751703593
2011,2.4518347618425
2012,2.43595200664909
2013,2.42006925145566
2014,2.40418649626224
2015,2.38830374106882
2016,2.37242098587539
2017,2.35653823068197
2018,2.34065547548855
2019,2.32477272029513
2020,2.30888996510171
2021,2.29300720990828
2022,2.27712445471486
2023,2.27712445471486
2024,2.27712445471486
2025,..
