Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,35.1798
1971,32.4824
1972,35.7949
1973,36.8327
1974,33.1354
1975,34.5479
1976,32.4538
1977,32.9075
1978,36.1419
1979,38.3153
1980,33.7355
1981,30.2953
1982,27.7404
1983,25.9531
1984,26.1124
1985,29.4263
1986,30.8075
1987,30.1708
1988,27.6884
1989,25.8622
1990,26.5219
1991,29.549
1992,29.9691
1993,29.4035
1994,29.3543
1995,30.9051
1996,35.7203
1997,32.8288
1998,32.2136
1999,30.4657
2000,29.1483
2001,30.125
2002,28.5409
2003,31.07
2004,31.0638
2005,30.6102
2006,28.2933
2007,24.9297
2008,28.9749
2009,27.0074
2010,29.3894
2011,24.1828
2012,25.3906
2013,27.6996
2014,22.0595
2015,24.8958
2016,24.7559
2017,24.5956
2018,24.3233
2019,23.841
2020,23.4578
2021,24.7858
2022,20.8654
2023,19.7144
2024,..
