Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,136543422797.859
1971,143508667119.652
1972,151990411989.173
1973,163104955874.514
1974,167967620026.495
1975,171204243646.617
1976,179186467521.369
1977,183710461835.247
1978,190233345097.247
1979,198459074146.625
1980,198473816288.615
1981,200959366086.769
1982,203903785942.815
1983,204081216405.005
1984,204743519463.203
1985,210416690645.476
1986,215219537445.678
1987,219571161393.933
1988,224158338645.366
1989,230157308312.576
1990,235054988618.104
1991,242572820754.879
1992,246919855360.618
1993,246008231990.641
1994,251188882352.01
1995,255098461114.403
1996,259781648756.288
1997,263526690826.519
1998,270735035800.516
1999,276664193253.436
2000,284093649978.329
2001,287735982073.95
2002,291725367913.141
2003,294826638535.374
2004,299169599386.366
2005,302500133344.78
2006,306916356568.534
2007,313181766914.52
2008,319126514274.301
2009,324170613354.744
2010,332824743874.11
2011,334674134785.975
2012,339053472086.308
2013,342382273832.848
2014,346146574023.318
2015,350351773082.969
2016,354121677488.323
2017,359204802283.325
2018,364788230625.283
2019,370717388078.203
2020,351983312878.053
2021,369999742888.547
2022,382990618675.124
2023,389037362745.802
2024,396647275189.973
2025,..
