Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,5
1996,5
1997,9
1998,14
1999,15
2000,20
2001,11
2002,21
2003,40
2004,41
2005,95
2006,63
2007,53
2008,58
2009,66
2010,80
2011,88
2012,91
2013,76
2014,76
2015,66
2016,44
2017,52
2018,50
2019,34
2020,28
2021,29
2022,28
2023,53
2024,93
2025,..
