Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,3.61869663208314
1973,1.69770602399078
1974,-2.87894852279075
1975,-9.23055541011362
1976,-2.96701374599144
1977,-1.87583313892806
1978,1.17982564766747
1979,8.79212029309629
1980,5.54159505236858
1981,2.13097518619921
1982,-7.33360233546509
1983,-7.35802391602468
1984,2.65525031937521
1985,6.46373323394438
1986,-4.15657511028266
1987,-4.96842163516877
1988,1.33961191160267
1989,-9.03984002900214
1990,7.15304187364352
1991,2.41856294678118
1992,-6.55007372169317
1993,4.57876513848203
1994,-12.500075922866
1995,3.81096482771808
1996,3.63047097594892
1997,4.30486704351615
1998,1.07108986227713
1999,7.2405167453396
2000,5.48148480154182
2001,4.19897196784777
2002,4.9923551319439
2003,1.90431931923914
2004,3.35405066466039
2005,-2.60821295399441
2006,0.648440772912195
2007,2.46306104231596
2008,2.12778280913903
2009,-0.680495084629783
2010,-1.05660227092166
2011,1.66874110802043
2012,3.06093860468512
2013,6.65793221361794
2014,3.1094128981624
2015,0.149353854059029
2016,1.46985917432916
2017,0.7685322817361
2018,3.31691378940333
2019,5.05693621293055
2020,0.038285384199142
2021,5.52634132543868
2022,..
2023,..
2024,..
2025,..
