Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,10.35
2001,10.25
2002,10.58
2003,10.46
2004,10.51
2005,10.47
2006,10.47
2007,10.53
2008,10.77
2009,11.13
2010,11.37
2011,11.53
2012,11.55
2013,11.42
2014,11.4
2015,11.57
2016,11.46
2017,11.36
2018,11.29
2019,11.36
2020,10.85
2021,11.14
2022,..
2023,..
2024,..
2025,..
