Year,Value
1960,..
1961,..
1962,7.95517506436004
1963,6.09421876145602
1964,6.00104684803977
1965,5.53582044241742
1966,4.47074668979861
1967,4.35157233571714
1968,4.6852379944254
1969,3.48818180696807
1970,3.80233568857771
1971,3.63008179390161
1972,4.31416310107437
1973,5.70429846531456
1974,9.77906684312445
1975,..
1976,..
1977,..
1978,..
1979,10.7138212233214
1980,8.33614384305182
1981,..
1982,4.73262432377653
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,20.7757202240055
1999,10.6223703642365
2000,19.1502616963496
2001,17.2993937781755
2002,17.4162700678258
2003,20.0432575318649
2004,23.0000115437121
2005,20.4368096490888
2006,21.624746268441
2007,20.4413575659088
2008,14.8103972649137
2009,16.6480560906321
2010,19.612609408776
2011,16.6740043452239
2012,21.0337848610718
2013,14.1099755006311
2014,13.9608818977839
2015,17.5201140392113
2016,13.5502631118408
2017,16.5240441353649
2018,18.0370047622043
2019,18.821947632836
2020,17.804650995392
2021,14.6565822135228
2022,18.5621759425092
2023,17.0481553229374
2024,13.6543859922376
2025,..
