Year,Value
1960,311000000
1961,403000000
1962,1201000000
1963,1294000000
1964,1313000000
1965,860000000
1966,960000000
1967,909000000
1968,931000000
1969,1046000000
1970,1157000000
1971,1196000000
1972,1247000000
1973,1355000000
1974,1509000000
1975,3871000000
1976,4667000000
1977,5627000000
1978,7305000000
1979,6814000000
1980,7471000000
1981,9216000000
1982,10800000000
1983,11172000000
1984,11784000000
1985,12178000000
1986,17724000000
1987,15241000000
1988,17033000000
1989,21315000000
1990,22997000000
1991,19608000000
1992,18824000000
1993,17139000000
1994,16800000000
1995,18400000000
1996,19000000000
1997,22500000000
1998,23300000000
1999,25700000000
2000,26100000000
2001,27000000000
2002,29600000000
2003,29500000000
2004,34700000000
2005,38950000000
2006,37979000000
2007,51673000000
2008,52393000000
2009,60125000000
2010,61266000000
2011,65519000000
2012,75420000000
2013,82078000000
2014,87594000000
2015,87496000000
2016,88625000000
2017,111699000000
2018,169936000000
2019,209727000000
2020,220074000000
2021,254201000000
2022,350865500000
2023,501726000000
2024,620762000000
2025,..
