Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,9.90109620041936
1986,9.65902100219478
1987,11.1578153596456
1988,10.7442485101197
1989,10.8648049402492
1990,9.69948226759376
1991,10.9337435567557
1992,10.7485858525297
1993,10.750682040485
1994,13.784428493415
1995,12.0795702768976
1996,12.4946693294609
1997,13.4973413662304
1998,12.7480337295482
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
