Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,12.54322
1999,..
2000,..
2001,17.52585
2002,17.79191
2003,26.76978
2004,16.79781
2005,22.47607
2006,21.22325
2007,17.64733
2008,23.21855
2009,24.07497
2010,14.73756
2011,15.58112
2012,15.98498
2013,16.60156
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
