Year,Value
1960,8.18423651263879
1961,8.08586405985415
1962,7.97077097485303
1963,7.87268968683504
1964,7.77046900641193
1965,7.62264089309193
1966,7.43690948492667
1967,7.27137149901965
1968,7.23900073613392
1969,7.3451852733526
1970,7.4123119810224
1971,7.4670861222564
1972,7.53936736827317
1973,7.53140877153998
1974,7.51809180628134
1975,7.53980720713212
1976,7.58119850915558
1977,7.65541344648557
1978,7.67062749277568
1979,7.60321654515015
1980,7.41745690212703
1981,7.15909409250691
1982,6.95132048677056
1983,6.78860157867153
1984,6.64360075163489
1985,6.52129472871967
1986,6.45204769207433
1987,6.4003725318388
1988,6.34906631604178
1989,6.25321601843189
1990,6.07171994657571
1991,5.83194155599838
1992,5.56728865567477
1993,5.31367629699025
1994,5.06003473520266
1995,4.78146661066463
1996,4.53268667249052
1997,4.29908077142357
1998,4.07027140985597
1999,3.93867022176361
2000,3.91263892024909
2001,3.88778276448926
2002,3.90187231479772
2003,3.9900847613116
2004,4.04052526665097
2005,4.07605494696117
2006,4.1547297650247
2007,4.2707999372394
2008,4.40014063916418
2009,4.53335926392143
2010,4.62097327546329
2011,4.61831201959652
2012,4.55030128367837
2013,4.49318861032207
2014,4.45886945912754
2015,4.42473761000532
2016,4.40528838753416
2017,4.39739393543911
2018,4.39331987492223
2019,4.36894122624154
2020,4.31846440174541
2021,4.27037991056898
2022,4.25888185839433
2023,4.27250596061163
2024,4.28273497151854
2025,..
