Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.0033
1971,0.0034
1972,0.0037
1973,0.004
1974,0.0036
1975,0.0038
1976,0.0039
1977,0.0041
1978,0.0041
1979,0.0046
1980,0.0046
1981,0.0046
1982,0.0049
1983,0.005
1984,0.0052
1985,0.006
1986,0.0066
1987,0.0071
1988,0.0087
1989,0.0097
1990,0.01
1991,0.0097
1992,0.0098
1993,0.0096
1994,0.0093
1995,0.0087
1996,0.0093
1997,0.0094
1998,0.0096
1999,0.01
2000,0.0096
2001,0.0092
2002,0.0121
2003,0.0107
2004,0.0101
2005,0.01
2006,0.01
2007,0.0099
2008,0.0086
2009,0.0088
2010,0.0101
2011,0.0102
2012,0.0103
2013,0.0106
2014,0.0107
2015,0.0106
2016,0.0108
2017,0.0109
2018,0.0117
2019,0.0122
2020,0.0111
2021,0.0116
2022,0.012
2023,0.0119
2024,0.0119
2025,..
