Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0.00000456210399299131
1991,0.00000443354361335122
1992,0.00000474094781737692
1993,0.00000470474275851932
1994,0.00000454981588369713
1995,0.00000421857580880695
1996,0.00000443507307923291
1997,0.00000448333472278643
1998,0.0000049815184530649
1999,0.00000440879662320092
2000,0.00000373277772071662
2001,0.00000410364290899394
2002,0.00000357899289191497
2003,0.00000330681318786877
2004,0.00000421684066611925
2005,0.00000116184562908878
2006,0.00000116617489174005
2007,0.00000114509796242081
2008,0.00000123581558449619
2009,0.0000013631667858969
2010,0.00000112828093917582
2011,0.00000107176697647209
2012,0.00000113708147282797
2013,0.00000102928468252976
2014,7.92383936021881e-7
2015,9.90043144194505e-7
2016,8.08517153769355e-7
2017,9.36278226979608e-7
2018,0.00000109260242338125
2019,0.00000287818871909521
2020,0.00000282317547820215
2021,..
2022,..
2023,..
2024,..
2025,..
