Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,66.716
1991,66.404
1992,66.369
1993,66.04
1994,65.71
1995,65.43
1996,65.234
1997,65.141
1998,65.164
1999,65.29
2000,65.507
2001,65.521
2002,65.238
2003,64.989
2004,64.906
2005,65.695
2006,66.721
2007,67.952
2008,69.309
2009,70.705
2010,71.745
2011,71.188
2012,71.586
2013,71.549
2014,71.169
2015,71.359
2016,71.977
2017,72.389
2018,72.07
2019,71.414
2020,69.226
2021,68.94
2022,70.285
2023,70.7
2024,70.569
2025,..
