Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,1.645
2000,1.3686
2001,1.4986
2002,10.7376
2003,2.2939
2004,4.5123
2005,11.6067
2006,13.3597
2007,11.9069
2008,8.8147
2009,10.3477
2010,8.0032
2011,10.7028
2012,8.6685
2013,7.3703
2014,5.9473
2015,5.5471
2016,5.5482
2017,2.186
2018,22.8567
2019,21.9674
2020,19.7449
2021,18.8429
2022,19.666
2023,20.6339
2024,..
