Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,25510
1996,26018
1997,30636
1998,30370
1999,30529
2000,31425
2001,29727
2002,34169
2003,38402
2004,40331
2005,43559
2006,45723
2007,47933
2008,48994
2009,42742
2010,46224
2011,49414
2012,48475
2013,43818
2014,44997
2015,40785
2016,41107
2017,48538
2018,52573.7
2019,48205.4
2020,42420.4
2021,44478.2
2022,..
2023,..
2024,..
2025,..
