Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,14.4664031620553
1992,-4.1897233201581
1993,-6.48221343873517
1994,-9.1699604743083
1995,2.60869565217392
1996,-14.6245059288538
1997,46.8774703557312
1998,49.3280632411067
1999,55.9683794466403
2000,10.4347826086956
2001,12.6482213438735
2002,12.4110671936759
2003,18.3399209486166
2004,8.45849802371541
2005,19.2885375494071
2006,37.9446640316205
2007,33.1225296442688
2008,28.695652173913
2009,55.4940711462451
2010,84.4268774703557
2011,18.5770750988142
2012,28.7747035573122
2013,62.6086956521739
2014,61.6600790513834
2015,95.4150197628459
2016,106.166007905138
2017,125.059288537549
2018,124.98023715415
2019,214.782608695652
2020,151.857707509881
2021,165.691699604743
2022,180.237154150198
2023,196.916996047431
2024,207.430830039526
2025,..
