Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0.0550086719817601
1991,0.0514685048868343
1992,0.0406977554213732
1993,0.0441159330755873
1994,0.0434386601478414
1995,0.0418380158898243
1996,0.0415919348995334
1997,0.0408138440272717
1998,0.0402184719850853
1999,0.0394098821024575
2000,0.0249290302410085
2001,0.0229870292676985
2002,0.0259835251086969
2003,0.0259458762377232
2004,0.0256538425401318
2005,0.0271274190253988
2006,0.0320037660502521
2007,0.0370517735455753
2008,0.0380015484107558
2009,0.0353295085121773
2010,0.0457583452862898
2011,0.0235995496612149
2012,0.0288695561672501
2013,0.0322577692177374
2014,0.0460168166567083
2015,0.0387293468345497
2016,0.0526736012254596
2017,0.0465318538977015
2018,0.049289508028518
2019,0.0493998888807631
2020,0.0375433179423132
2021,0.0410000725482415
2022,0.0405205415517131
2023,0.0387414309377113
2024,0.0378317905557622
2025,..
