Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,51.939998626709
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,47.8240524978072
2000,51
2001,58.060001373291
2002,48.9
2003,..
2004,48.8
2005,52.6
2006,45.7700004577637
2007,56.3
2008,49.7700004577637
2009,51.6599998474121
2010,..
2011,60.9
2012,58.5800018310547
2013,64.4
2014,61.2
2015,62.7
2016,63
2017,63.4
2018,64.8
2019,68.2
2020,74.3199996948242
2021,69.4
2022,75.4829092696046
2023,71.2328109741211
2024,..
2025,..
