Year,Value
1960,..
1961,..
1962,..
1963,..
1964,164107
1965,163221
1966,162020
1967,160213
1968,158381
1969,157516
1970,157014
1971,156254
1972,155471
1973,153970
1974,150840
1975,148547
1976,146454
1977,144320
1978,142077
1979,139912
1980,137589
1981,134920
1982,131325
1983,127328
1984,122696
1985,118246
1986,113549
1987,108216
1988,103026
1989,98345
1990,93326
1991,88856
1992,84356
1993,81358
1994,78611
1995,76741
1996,74459
1997,72614
1998,70505
1999,67293
2000,62732
2001,58290
2002,53842
2003,49747
2004,46808
2005,44055
2006,41142
2007,38578
2008,36239
2009,34527
2010,32976
2011,31581
2012,30261
2013,29238
2014,28722
2015,28189
2016,28901
2017,26616
2018,26418
2019,25804
2020,24901
2021,23796
2022,21903
2023,19804
2024,..
2025,..
