Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,93485000
1976,76798000
1977,91705000
1978,91700000
1979,109800000
1980,152200000
1981,128880000
1982,122000000
1983,135600000
1984,139200000
1985,138000000
1986,146400000
1987,171600000
1988,172900000
1989,150200000
1990,139400000
1991,140500000
1992,134500000
1993,133600000
1994,105600000
1995,142800000
1996,158500000
1997,134300000
1998,113000000
1999,138600000
2000,122100000
2001,129400000
2002,117400000
2003,127000000
2004,113200000
2005,121200000
2006,122316100
2007,125967300
2008,124154500
2009,128426000
2010,182100000
2011,176900000
2012,190000000
2013,206100000
2014,197000000
2015,185800000
2016,192600000
2017,205000000
2018,260300000
2019,278700000
2020,334300000
2021,235600000
2022,199500000
2023,238700000
2024,236200000
2025,..
