Year,Value
1960,134476
1961,135823
1962,137172
1963,138481
1964,139693
1965,140848
1966,142060
1967,143258
1968,144340
1969,145210
1970,145771
1971,146169
1972,146970
1973,148143
1974,149412
1975,151247
1976,153082
1977,154751
1978,156715
1979,158704
1980,160706
1981,162616
1982,163992
1983,164928
1984,165699
1985,166202
1986,166654
1987,167111
1988,167370
1989,167381
1990,168023
1991,169396
1992,170637
1993,171635
1994,172406
1995,172976
1996,173464
1997,173944
1998,174455
1999,174977
2000,175156
2001,175863
2002,177277
2003,178662
2004,180182
2005,181776
2006,183403
2007,184884
2008,185973
2009,186663
2010,187228
2011,187801
2012,188284
2013,188694
2014,189055
2015,189418
2016,189813
2017,190027
2018,189983
2019,189714
2020,189210
2021,188580
2022,187955
2023,187527
2024,187017
2025,..
