Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0
1991,0
1992,..
1993,..
1994,..
1995,0.0645
1996,0.157
1997,0.308
1998,0.602
1999,1.12
2000,2.90267
2001,3.43089
2002,3.38592
2003,3.34519
2004,3.30489
2005,3.26255
2006,4.28993
2007,5.28
2008,6.25
2009,6.15
2010,6
2011,9
2012,16
2013,30
2014,36.7447
2015,37.3121
2016,42.2576
2017,47.8587
2018,54.2022
2019,61.3865
2020,69.523
2021,78.738
2022,80.3696
2023,81.36
2024,..
2025,..
