Year,Value
1960,261413
1961,264627
1962,268073
1963,271732
1964,276417
1965,278951
1966,278316
1967,277492
1968,276653
1969,276026
1970,275705
1971,279910
1972,292160
1973,310296
1974,330320
1975,351189
1976,373829
1977,398022
1978,428190
1979,459697
1980,477474
1981,492599
1982,512908
1983,531308
1984,550395
1985,570205
1986,590270
1987,610500
1988,630637
1989,651523
1990,674183
1991,698281
1992,724965
1993,754352
1994,785491
1995,817540
1996,849670
1997,881800
1998,913731
1999,945549
2000,977490
2001,1008965
2002,1039013
2003,1067850
2004,1096134
2005,1124250
2006,1152557
2007,1181404
2008,1211049
2009,1241268
2010,1271227
2011,1297541
2012,1316337
2013,1331773
2014,1348899
2015,1367982
2016,1389470
2017,1413252
2018,1438946
2019,1466523
2020,1496080
2021,1526008
2022,1554129
2023,1581133
2024,1609356
2025,..
