Year,Value
1960,221329.858912348
1961,227976.801300603
1962,215346.852438897
1963,209679.86143579
1964,209792.654096064
1965,207464.478069115
1966,204422.960019436
1967,209359.20638386
1968,207570.694728442
1969,217261.389753426
1970,217455.023945116
1971,215399.845898807
1972,211223.806180965
1973,211129.968984837
1974,220226.779792168
1975,216858.779661837
1976,225266.39660116
1977,231439.612630798
1978,231793.177620487
1979,223669.58578163
1980,211320.793214543
1981,205717.635799196
1982,219029.861907373
1983,198849.294099982
1984,215058.338945967
1985,220726.647217228
1986,225731.875921037
1987,211777.510110878
1988,211842.820375355
1989,210599.252147114
1990,199766.357580843
1991,192542.768927146
1992,174540.208334491
1993,169634.677385389
1994,172478.494171495
1995,179921.339334037
1996,168304.974002937
1997,172420.930430104
1998,175693.13720384
1999,177107.080132459
2000,168014.376733441
2001,171661.495496732
2002,174025.112348065
2003,160739.745645107
2004,166729.313355718
2005,164478.258537916
2006,168831.219265261
2007,173238.818043502
2008,173066.191941011
2009,189170.039524871
2010,199518.361360295
2011,204607.382967132
2012,212811.396081588
2013,134444.564353196
2014,135113.434859367
2015,140786.551804585
2016,144835.555702646
2017,148870.838097587
2018,151815.550878039
2019,154431.183430026
2020,153281.460852086
2021,152200.108037793
2022,153312.638671333
2023,152756.290830062
2024,149921.046767601
