Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,99.8666796985606
2001,99.8688346973746
2002,99.869342983024
2003,99.8698601366665
2004,99.8703662409249
2005,99.8639583203514
2006,99.8430162755526
2007,99.7607606816524
2008,99.6782742849719
2009,99.5955583039344
2010,99.5126181540999
2011,99.4293838454061
2012,99.3455544247407
2013,99.2616780948354
2014,99.1777500183005
2015,99.0937780508687
2016,99.0097526693879
2017,98.9256763278337
2018,98.84154412867
2019,98.7573247700797
2020,98.6730086081464
2021,98.5885671606396
2022,98.5883597851291
2023,98.5881318805776
2024,98.5878834990178
2025,..
