Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,42.0764054544807
1991,39.4259507368855
1992,39.2954701613849
1993,37.8454157955301
1994,36.7443894787645
1995,39.4958116512248
1996,43.7236965670759
1997,40.272934761935
1998,40.6970331973089
1999,37.0636093613236
2000,39.167654028436
2001,37.0148965250645
2002,40.56844080976
2003,40.7879507345303
2004,41.1039109552489
2005,39.1312365879828
2006,43.4278310281308
2007,41.1115200588885
2008,40.1804493827877
2009,40.4417242437079
2010,38.8394897883949
2011,41.3320334865296
2012,36.4280702759203
2013,37.0164644220361
2014,38.4107160280445
2015,34.1139446233858
2016,33.4758105369808
2017,32.2946714426094
2018,36.9134605645826
2019,35.9488330951895
2020,33.529658060014
2021,29.3214410103427
2022,36.7843925617947
2023,33.0062130297657
2024,..
2025,..
