Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,3123
2001,3388
2002,924
2003,1196
2004,692
2005,..
2006,..
2007,..
2008,..
2009,1850
2010,1684
2011,4576
2012,6515
2013,212
2014,59
2015,157
2016,425
2017,629
2018,661
2019,542
2020,713
2021,1236
2022,1399
2023,252
2024,..
2025,..
