Year,Value
1960,..
1961,3.26499303868364
1962,3.82822868740827
1963,3.43439736219735
1964,2.93899234262959
1965,2.41283042881349
1966,2.26237353394624
1967,2.40221938913933
1968,2.35554939104764
1969,2.14260053834955
1970,1.64558647582968
1971,1.35120288411323
1972,1.48701163271053
1973,1.38693484693539
1974,1.134699766317
1975,0.522681983685205
1976,-0.0128571443928131
1977,0.233693975347906
1978,0.616830610955432
1979,0.864428127646673
1980,1.13741954814479
1981,1.39544303116595
1982,1.60343011751679
1983,1.5821455799577
1984,1.6025113559911
1985,1.73238281086585
1986,1.8184059778154
1987,1.89468251541116
1988,1.93349138286554
1989,1.90413720833308
1990,1.97266515953816
1991,2.08957993314022
1992,1.93473464547868
1993,1.74526986337745
1994,1.6109190516314
1995,1.43874827602139
1996,1.14716929764489
1997,0.860201106680504
1998,0.809341675214187
1999,0.861293323606298
2000,0.788960419597938
2001,0.733484702944804
2002,0.815385027370858
2003,0.785956939728788
2004,0.720448910177642
2005,0.666404437076328
2006,0.649978814350276
2007,0.916544227871043
2008,1.29768909531756
2009,1.28461013390536
2010,1.0885075863757
2011,1.16880614347861
2012,1.19976938479998
2013,1.63663900845104
2014,2.06407361513105
2015,2.28801875626482
2016,2.49498706086045
2017,2.53743050638578
2018,2.49181868216515
2019,2.5713770284745
2020,2.64636277763181
2021,2.99801654408171
2022,1.68136719136955
2023,1.57630897563029
2024,1.62862712515389
2025,..
