Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,-1.33419548227282
1986,3.68359407674939
1987,5.68936429519364
1988,0.667334366260691
1989,19.9835462853345
1990,21.472611103024
1991,5.72133651969467
1992,9.30522724057316
1993,10.92661357613
1994,5.74606631591623
1995,6.38855352000345
1996,13.6749448779556
1997,11.9419486829006
1998,19.240628326491
1999,10.2119697724669
2000,9.83487325107737
2001,7.30156423972337
2002,4.27461224669902
2003,1.80102821473996
2004,-1.77319533208462
2005,-0.413027483221684
2006,-3.87220104358338
2007,3.40902444709341
2008,12.910470199151
2009,3.54597211267265
2010,-3.76879580128201
2011,5.58745776542778
2012,9.22337834222408
2013,6.84632643680273
2014,2.12102531001641
2015,0.534100501734634
2016,0.982913248021622
2017,-0.262655305184403
2018,2.54731216179179
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
