Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,-21000000
1983,621000000
1984,1638000000
1985,-3027000000
1986,-1568000000
1987,-1051000000
1988,-876000000
1989,180000000
1990,241000000
1991,-235000000
1992,57000000
1993,-3049000000
1994,-3543000000
1995,-789400000
1996,-1744000000
1997,-6943000000
1998,3732000000
1999,11234000000
2000,3990732000
2001,19405000000
2002,10342485051.8252
2003,-11437115819.9986
2004,-19743601592.0469
2005,4709837172.2624
2006,68416515086.0359
2007,-16442973699.6943
2008,-34852395243.9119
2009,-27087363798.0012
2010,-24038442273.013
2011,-19639146481.033
2012,-47779274570.0752
2013,-52891117744.1311
2014,-82429447386.7501
2015,66470061883.31
2016,52270616754.1906
2017,-29497793098.2633
2018,-106873525546.721
2019,-57947645385.638
2020,-95539019942.7
2021,-51365856850.46
2022,289053728588.98
2023,57815927864.98
2024,187638072947.45
2025,..
