Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,0.00943586893196833
1980,0.0342170562883636
1981,0.242644002957843
1982,0.254374313687085
1983,0.288266335525258
1984,0.30470980817845
1985,0.301941338642977
1986,0.363487363439652
1987,0.503992712089559
1988,0.612638034279989
1989,0.593088618769129
1990,0.560128579763421
1991,0.498002541192642
1992,0.697025773812747
1993,0.718608892625257
1994,0.553511222359495
1995,0.476819096220235
1996,0.310237459984248
1997,0.215399514602066
1998,0.24075472077764
1999,0.220952612406479
2000,0.144655958902127
2001,0.112111577023389
2002,0.102484409832411
2003,0.0813502331245053
2004,0.086402169423247
2005,0.0781395263923949
2006,0.0455261572485185
2007,0.0402321303813357
2008,0.0278017221677568
2009,0.022030053863291
2010,0.0155302232507397
2011,-0.00794079001780275
2012,-0.00208612452600876
2013,-0.00679282367724074
2014,-0.00886123774889293
2015,-0.00272790884728656
2016,-0.00694219532942694
2017,-0.00790600135182456
2018,-0.00500663161982718
2019,-0.00418045336207073
2020,-0.00383509922382811
2021,-0.00310837290907349
2022,-0.00154418150046106
2023,-0.0014730637020795
2024,..
2025,..
