Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,16.08949
1996,16.75864
1997,17.21769
1998,..
1999,17.08747
2000,17.56423
2001,18.57755
2002,18.57755
2003,19.5765
2004,..
2005,..
2006,17.04956
2007,16.40386
2008,15.83738
2009,15.45224
2010,14.90671
2011,14.47065
2012,13.84711
2013,13.42238
2014,12.61388
2015,12.4553
2016,12.30006
2017,12.26986
2018,12.32505
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
