Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,193421237.837933
1966,178688819.971612
1967,193088699.930079
1968,231454654.838626
1969,257346671.730306
1970,301733187.275657
1971,284721121.684101
1972,305521571.252187
1973,393469130.801202
1974,548805300.693213
1975,648117760.060174
1976,656202835.889513
1977,850701204.288005
1978,1103007001.90104
1979,1247639813.74646
1980,1861186771.24249
1981,1445617473.66066
1982,2195884892.67123
1983,2088376143.28872
1984,2447934059.896
1985,2858134100.85175
1986,2760485196.05949
1987,2178543700.78274
1988,1961804001.92354
1989,2280376116.79814
1990,2485421487.55571
1991,2367905903.71539
1992,2480390363.88588
1993,2652315493.28416
1994,1912336305.59926
1995,2348799529.22059
1996,2691568972.11885
1997,2875461379.0151
1998,2483240189.42057
1999,2247078226.12803
2000,2626514827.50102
2001,2766983730.38158
2002,2854249060.11522
2003,3104135993.00922
2004,3868330225.42171
2005,4340055666.03028
2006,5055972600.31033
2007,6455516974.46439
2008,7485406850.66888
2009,5469950248.91088
2010,6153122906.06151
2011,7421773622.74155
2012,7200040957.28217
2013,7973145413.04449
2014,8590854302.65916
2015,6760654004.68446
2016,6407809686.3797
2017,6624479953.0876
2018,7486173533.2258
2019,7874085866.66636
2020,6212103784.55953
2021,7430968539.29677
2022,8568684369.04679
2023,8226588945.45928
2024,8353326094.39976
2025,..
