Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,-2910100
2003,18000000
2004,-4858000
2005,-7714000
2006,-6714000
2007,-3190174.51
2008,72711281.76
2009,-2323161.4
2010,-3425000.5
2011,-10547226.11
2012,-10949999.25
2013,-45400000
2014,22255556
2015,48144445
2016,63077776
2017,262878
2018,-8296538
2019,-4898610
2020,-5716250
2021,26693577
2022,1525125
2023,73000000
2024,22257595.31
2025,..
