Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,260623948.413806
1991,280440661.456483
1992,254533940.238905
1993,361480385.957882
1994,195285909.427804
1995,168275734.97565
1996,155515158.478392
1997,163155023.06996
1998,162894307.009966
1999,125114117.641836
2000,528866079.718381
2001,200576100.531281
2002,217415679.958991
2003,205310118.678977
2004,216978170.643648
2005,240011778.75316
2006,282855892.361661
2007,316710080.478441
2008,362411789.584378
2009,340320874.904365
2010,374371332.852593
2011,424901981.249327
2012,458483861.157514
2013,480140490.277322
2014,489314200.749233
2015,487608714.832259
2016,465504042.792161
2017,454605879.15874
2018,544685919.98684
2019,564612757.876777
2020,511898823.104494
2021,535215565.099158
2022,..
2023,..
2024,..
2025,..
