Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,23.7931954166889
2001,23.2032433243403
2002,22.6132912319917
2003,22.0233391396432
2004,21.4333870472947
2005,20.843434954946
2006,20.1663421245347
2007,19.4943258393376
2008,18.8273860993547
2009,18.1655229045861
2010,17.5087362550316
2011,16.8570261506915
2012,16.2103925915657
2013,15.5688355776539
2014,14.9323551089566
2015,14.3009511854735
2016,13.6746238072045
2017,13.0533729741498
2018,12.4371986863093
2019,11.8261009436832
2020,11.2200797462713
2021,11.2200797462713
2022,11.2200797462713
2023,11.2200797462713
2024,11.2200797462713
2025,..
